"Date","Total","Year","Month","Category","Value"
2013-01-01,5662052,2013,1,"Domestic",2791996
2013-01-01,5662052,2013,1,"International",2870056
2013-02-01,5680658,2013,2,"Domestic",2883282
2013-02-01,5680658,2013,2,"International",2797376
2013-03-01,6486076,2013,3,"Domestic",3304344
2013-03-01,6486076,2013,3,"International",3181732
2013-04-01,6142614,2013,4,"Domestic",3233224
2013-04-01,6142614,2013,4,"International",2909390
2013-05-01,6748262,2013,5,"Domestic",3649609
2013-05-01,6748262,2013,5,"International",3098653
2013-06-01,7162961,2013,6,"Domestic",3858884
2013-06-01,7162961,2013,6,"International",3304077
2013-07-01,6522860,2013,7,"Domestic",3356378
2013-07-01,6522860,2013,7,"International",3166482
2013-08-01,7446286,2013,8,"Domestic",3979501
2013-08-01,7446286,2013,8,"International",3466785
2013-09-01,6872877,2013,9,"Domestic",3688379
2013-09-01,6872877,2013,9,"International",3184498
2013-10-01,7001666,2013,10,"Domestic",3751481
2013-10-01,7001666,2013,10,"International",3250185
2013-11-01,7387280,2013,11,"Domestic",4060362
2013-11-01,7387280,2013,11,"International",3326918
2013-12-01,8468150,2013,12,"Domestic",4621341
2013-12-01,8468150,2013,12,"International",3846809
2014-01-01,7158555,2014,1,"Domestic",3649967
2014-01-01,7158555,2014,1,"International",3508588
2014-02-01,6694009,2014,2,"Domestic",3468287
2014-02-01,6694009,2014,2,"International",3225722
2014-03-01,7291719,2014,3,"Domestic",3770923
2014-03-01,7291719,2014,3,"International",3520796
2014-04-01,6873213,2014,4,"Domestic",3555614
2014-04-01,6873213,2014,4,"International",3317599
2014-05-01,6901935,2014,5,"Domestic",3675516
2014-05-01,6901935,2014,5,"International",3226419
2014-06-01,7445383,2014,6,"Domestic",4079012
2014-06-01,7445383,2014,6,"International",3366371
2014-07-01,6512839,2014,7,"Domestic",3296484
2014-07-01,6512839,2014,7,"International",3216355
2014-08-01,7079552,2014,8,"Domestic",3741022
2014-08-01,7079552,2014,8,"International",3338530
2014-09-01,6801068,2014,9,"Domestic",3649877
2014-09-01,6801068,2014,9,"International",3151191
2014-10-01,7027147,2014,10,"Domestic",3748143
2014-10-01,7027147,2014,10,"International",3279004
2014-11-01,8226698,2014,11,"Domestic",4981799
2014-11-01,8226698,2014,11,"International",3244899
2014-12-01,8526504,2014,12,"Domestic",4515329
2014-12-01,8526504,2014,12,"International",4011175
2015-01-01,6838035,2015,1,"Domestic",3454645
2015-01-01,6838035,2015,1,"International",3383390
2015-02-01,6662834,2015,2,"Domestic",3561623
2015-02-01,6662834,2015,2,"International",3101211
2015-03-01,7467940,2015,3,"Domestic",4068518
2015-03-01,7467940,2015,3,"International",3399422
2015-04-01,6999293,2015,4,"Domestic",3716958
2015-04-01,6999293,2015,4,"International",3282335
2015-05-01,7328947,2015,5,"Domestic",4022683
2015-05-01,7328947,2015,5,"International",3306264
2015-06-01,7211437,2015,6,"Domestic",3900914
2015-06-01,7211437,2015,6,"International",3310523
2015-07-01,7426385,2015,7,"Domestic",3916784
2015-07-01,7426385,2015,7,"International",3509601
2015-08-01,7367942,2015,8,"Domestic",3815183
2015-08-01,7367942,2015,8,"International",3552759
2015-09-01,6871605,2015,9,"Domestic",3725896
2015-09-01,6871605,2015,9,"International",3145709
2015-10-01,6679068,2015,10,"Domestic",3502421
2015-10-01,6679068,2015,10,"International",3176647
2015-11-01,7040552,2015,11,"Domestic",3826764
2015-11-01,7040552,2015,11,"International",3213788
2015-12-01,8321388,2015,12,"Domestic",4387478
2015-12-01,8321388,2015,12,"International",3933910
2016-01-01,7080909,2016,1,"Domestic",3494548
2016-01-01,7080909,2016,1,"International",3586361
2016-02-01,7163031,2016,2,"Domestic",3752397
2016-02-01,7163031,2016,2,"International",3410634
2016-03-01,7558370,2016,3,"Domestic",4004792
2016-03-01,7558370,2016,3,"International",3553578
