"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","region_name","municipality","scheduled_service","gps_code","iata_code","score","connectivity"
26874,"WMKK","large_airport","Kuala Lumpur International Airport",2.74558,101.709999,69,"Selangor","Sepang",1,"WMKK","KUL",1017575,36
26878,"WMKP","medium_airport","Penang International Airport",5.297140121,100.2770004,11,"Penang","Penang",1,"WMKP","PEN",750,18
26814,"WBKK","medium_airport","Kota Kinabalu International Airport",5.932743,116.049324,10,"Sabah","Kota Kinabalu",1,"WBKK","BKI",750,17
26875,"WMKL","medium_airport","Langkawi International Airport",6.329730034,99.72869873,29,"Kedah","Langkawi",1,"WMKL","LGK",750,12
26808,"WBGG","medium_airport","Kuching International Airport",1.487364,110.352859,89,"Sarawak","Kuching",1,"WBGG","KCH",750,17
26879,"WMSA","medium_airport","Sultan Abdul Aziz Shah International Airport",3.130579948,101.5490036,90,"Selangor","Subang",1,"WMSA","SZB",750,18
26873,"WMKJ","medium_airport","Senai International Airport",1.64131,103.669998,135,"Johor","Johor Bahru",1,"WMKJ","JHB",750,14
26868,"WMKC","medium_airport","Sultan Ismail Petra Airport",6.16685009,102.2929993,16,"Kelantan","Kota Baharu",1,"WMKC","KBR",750,13
26811,"WBGR","medium_airport","Miri Airport",4.32201,113.987,59,"Sarawak","Miri",1,"WBGR","MYY",750,13
26816,"WBKS","medium_airport","Sandakan Airport",5.900899887,118.0589981,46,"Sabah","Sandakan",1,"WBKS","SDK",750,5
26818,"WBMU","medium_airport","Mulu Airport",4.04832983,114.8050003,80,"Sarawak","Mulu",1,"WBMU","MZV",750,1
26812,"WBGS","medium_airport","Sibu Airport",2.2616,111.985001,122,"Sarawak","Sibu",1,"WBGS","SBW",750,9
26869,"WMKD","medium_airport","Kuantan Airport",3.77538991,103.2089996,58,"Pahang","Kuantan",1,"WMKD","KUA",750,1
26866,"WMKA","medium_airport","Sultan Abdul Halim Airport",6.189670086,100.3980026,15,"Kedah","Alor Satar",1,"WMKA","AOR",750,5
26877,"WMKN","medium_airport","Sultan Mahmud Airport",5.382639885,103.1029968,21,"Terengganu","Kuala Terengganu",1,"WMKN","TGG",750,6
26817,"WBKW","medium_airport","Tawau Airport",4.31338,118.12152,57,"Sabah","Tawau",1,"WBKW","TWU",750,6
26876,"WMKM","medium_airport","Malacca International Airport",2.265613,102.252778,35,"Melaka","Malacca",0,"WMKM","MKZ",250,1
35209,"WMPA","small_airport","Pulau Pangkor Airport",4.244719982,100.5530014,19,"Perak","Pangkor Island",1,"WMPA","PKG",150,1
26807,"WBGB","medium_airport","Bintulu Airport",3.123850107,113.0199966,74,"Sarawak","Bintulu",1,"WBGB","BTU",750,7
26872,"WMKI","medium_airport","Sultan Azlan Shah Airport",4.567969799,101.0920029,130,"Perak","Ipoh",1,"WMKI","IPH",750,1
26809,"WBGJ","medium_airport","Limbang Airport",4.808300018,115.0100021,14,"Sarawak","Limbang",1,"WBGJ","LMN",750,1
26864,"WMBT","medium_airport","Tioman Airport",2.81818,104.160004,15,"Pahang","Tioman Island",1,"WMBT","TOD",750,1
31866,"WBGW","small_airport","Lawas Airport",4.84917,115.407997,5,"Sarawak","Lawas",1,"WBGW","LWY",150,1
41319,"WMPR","small_airport","LTS Pulau Redang Airport",5.764804,103.004942,36,"Terengganu","Redang",0,"WMPR","RDN",50,1
