"Airline","Source_Airport","Destination_Airport","Equipment","Source_Latitude","Source_Longitude","Destination_Latitude","Destination_Longitude","Distance_km"
"AA","KUL","LGK","737",2.745579958,101.7099991,6.329730034,99.72869873,455.0279812
"AA","KUL","PEN","737",2.745579958,101.7099991,5.297140121,100.2770004,325.2048099
"AA","LGK","KUL","737",6.329730034,99.72869873,2.745579958,101.7099991,455.0279812
"AA","PEN","KUL","737",5.297140121,100.2770004,2.745579958,101.7099991,325.2048099
"AK","AOR","KUL","320",6.189670086,100.3980026,2.745579958,101.7099991,409.6461226
"AK","BKI","JHB","320",5.937210083,116.0510025,1.64131,103.669998,1454.059937
"AK","BKI","KBR","320",5.937210083,116.0510025,6.16685009,102.2929993,1521.466179
"AK","BKI","KCH","320",5.937210083,116.0510025,1.484699965,110.3470001,803.4367692
"AK","BKI","KUL","320",5.937210083,116.0510025,2.745579958,101.7099991,1628.967127
"AK","BKI","MYY","320",5.937210083,116.0510025,4.32201004,113.9869995,290.6983762
"AK","BKI","PEN","320",5.937210083,116.0510025,5.297140121,100.2770004,1746.954385
"AK","BKI","SDK","320",5.937210083,116.0510025,5.900899887,118.0589981,222.1251016
"AK","BKI","TWU","320",5.937210083,116.0510025,4.320159912,118.1279984,291.9580639
"AK","BTU","KCH","320",3.123850107,113.0199966,1.484699965,110.3470001,348.4445633
"AK","BTU","KUL","320",3.123850107,113.0199966,2.745579958,101.7099991,1256.661461
"AK","JHB","BKI","320",1.64131,103.669998,5.937210083,116.0510025,1454.059937
"AK","JHB","KBR","320",1.64131,103.669998,6.16685009,102.2929993,525.8809216
"AK","JHB","KCH","320",1.64131,103.669998,1.484699965,110.3470001,742.37625
"AK","JHB","KUL","320",1.64131,103.669998,2.745579958,101.7099991,250.0096359
"AK","JHB","MYY","320",1.64131,103.669998,4.32201004,113.9869995,1183.682216
"AK","JHB","PEN","320",1.64131,103.669998,5.297140121,100.2770004,554.0969796
"AK","JHB","SBW","320",1.64131,103.669998,2.261600018,111.9850006,926.614998
"AK","JHB","TWU","320",1.64131,103.669998,4.320159912,118.1279984,1632.724158
"AK","KBR","BKI","320",6.16685009,102.2929993,5.937210083,116.0510025,1521.466179
"AK","KBR","JHB","320",6.16685009,102.2929993,1.64131,103.669998,525.8809216
"AK","KBR","KCH","320",6.16685009,102.2929993,1.484699965,110.3470001,1033.955968
"AK","KBR","KUL","320",6.16685009,102.2929993,2.745579958,101.7099991,385.8772284
"AK","KCH","BKI","320",1.484699965,110.3470001,5.937210083,116.0510025,803.4367692
"AK","KCH","BTU","320",1.484699965,110.3470001,3.123850107,113.0199966,348.4445633
"AK","KCH","JHB","320",1.484699965,110.3470001,1.64131,103.669998,742.37625
"AK","KCH","KBR","320",1.484699965,110.3470001,6.16685009,102.2929993,1033.955968
"AK","KCH","KUL","320",1.484699965,110.3470001,2.745579958,101.7099991,969.9026554
"AK","KCH","LGK","320",1.484699965,110.3470001,6.329730034,99.72869873,1294.978305
"AK","KCH","MYY","320",1.484699965,110.3470001,4.32201004,113.9869995,512.74244
"AK","KCH","PEN","320",1.484699965,110.3470001,5.297140121,100.2770004,1195.261243
"AK","KCH","SBW","320",1.484699965,110.3470001,2.261600018,111.9850006,201.4964765
"AK","KUL","AOR","320",2.745579958,101.7099991,6.189670086,100.3980026,409.6461226
"AK","KUL","BKI","320",2.745579958,101.7099991,5.937210083,116.0510025,1628.967127
"AK","KUL","BTU","320",2.745579958,101.7099991,3.123850107,113.0199966,1256.661461
"AK","KUL","JHB","320",2.745579958,101.7099991,1.64131,103.669998,250.0096359
"AK","KUL","KBR","320",2.745579958,101.7099991,6.16685009,102.2929993,385.8772284
"AK","KUL","KCH","320",2.745579958,101.7099991,1.484699965,110.3470001,969.9026554
"AK","KUL","LBU","320",2.745579958,101.7099991,5.300680161,115.25,1528.365394
"AK","KUL","LGK","320",2.745579958,101.7099991,6.329730034,99.72869873,455.0279812
"AK","KUL","MYY","320",2.745579958,101.7099991,4.32201004,113.9869995,1373.720789
"AK","KUL","PEN","320",2.745579958,101.7099991,5.297140121,100.2770004,325.2048099
"AK","KUL","SBW","320",2.745579958,101.7099991,2.261600018,111.9850006,1142.699092
"AK","KUL","SDK","320",2.745579958,101.7099991,5.900899887,118.0589981,1846.131006
"AK","KUL","TGG","320",2.745579958,101.7099991,5.382639885,103.1029968,331.4361433
"AK","KUL","TWU","320",2.745579958,101.7099991,4.320159912,118.1279984,1830.439811
"AK","LBU","KUL","320",5.300680161,115.25,2.745579958,101.7099991,1528.365394
"AK","LGK","KCH","320",6.329730034,99.72869873,1.484699965,110.3470001,1294.978305
"AK","LGK","KUL","320",6.329730034,99.72869873,2.745579958,101.7099991,455.0279812
"AK","LGK","PEN","320",6.329730034,99.72869873,5.297140121,100.2770004,129.8547254
"AK","MYY","BKI","320",4.32201004,113.9869995,5.937210083,116.0510025,290.6983762
"AK","MYY","JHB","320",4.32201004,113.9869995,1.64131,103.669998,1183.682216
"AK","MYY","KCH","320",4.32201004,113.9869995,1.484699965,110.3470001,512.74244
"AK","MYY","KUL","320",4.32201004,113.9869995,2.745579958,101.7099991,1373.720789
"AK","MYY","PEN","320",4.32201004,113.9869995,5.297140121,100.2770004,1522.934937
"AK","MYY","TGG","320",4.32201004,113.9869995,5.382639885,103.1029968,1211.631235
"AK","PEN","BKI","320",5.297140121,100.2770004,5.937210083,116.0510025,1746.954385
"AK","PEN","JHB","320",5.297140121,100.2770004,1.64131,103.669998,554.0969796
"AK","PEN","KCH","320",5.297140121,100.2770004,1.484699965,110.3470001,1195.261243
"AK","PEN","KUL","320",5.297140121,100.2770004,2.745579958,101.7099991,325.2048099
"AK","PEN","LGK","320",5.297140121,100.2770004,6.329730034,99.72869873,129.8547254
"AK","PEN","MYY","320",5.297140121,100.2770004,4.32201004,113.9869995,1522.934937
"AK","SBW","JHB","320",2.261600018,111.9850006,1.64131,103.669998,926.614998
"AK","SBW","KCH","320",2.261600018,111.9850006,1.484699965,110.3470001,201.4964765
"AK","SBW","KUL","320",2.261600018,111.9850006,2.745579958,101.7099991,1142.699092
"AK","SDK","BKI","320",5.900899887,118.0589981,5.937210083,116.0510025,222.1251016
"AK","SDK","KUL","320",5.900899887,118.0589981,2.745579958,101.7099991,1846.131006
"AK","TGG","KUL","320",5.382639885,103.1029968,2.745579958,101.7099991,331.4361433
"AK","TGG","MYY","320",5.382639885,103.1029968,4.32201004,113.9869995,1211.631235
"AK","TWU","BKI","320",4.320159912,118.1279984,5.937210083,116.0510025,291.9580639
"AK","TWU","JHB","320",4.320159912,118.1279984,1.64131,103.669998,1632.724158
"AK","TWU","KUL","320",4.320159912,118.1279984,2.745579958,101.7099991,1830.439811
"FY","AOR","SZB","AT7",6.189670086,100.3980026,3.130579948,101.5490036,363.2820437
"FY","JHB","KBR","AT7",1.64131,103.669998,6.16685009,102.2929993,525.8809216
"FY","JHB","SZB","AT7",1.64131,103.669998,3.130579948,101.5490036,288.0032445
"FY","KBR","JHB","AT7",6.16685009,102.2929993,1.64131,103.669998,525.8809216
"FY","KBR","PEN","AT7",6.16685009,102.2929993,5.297140121,100.2770004,243.1083741
"FY","KBR","SZB","AT7",6.16685009,102.2929993,3.130579948,101.5490036,347.5388282
"FY","LGK","PEN","AT7",6.329730034,99.72869873,5.297140121,100.2770004,129.8547254
"FY","LGK","SZB","AT7",6.329730034,99.72869873,3.130579948,101.5490036,408.9292899
"FY","PEN","KBR","AT7",5.297140121,100.2770004,6.16685009,102.2929993,243.1083741
"FY","PEN","LGK","AT7",5.297140121,100.2770004,6.329730034,99.72869873,129.8547254
"FY","PEN","SZB","AT7",5.297140121,100.2770004,3.130579948,101.5490036,279.1644684
"FY","SZB","AOR","AT7",3.130579948,101.5490036,6.189670086,100.3980026,363.2820437
"FY","SZB","JHB","AT7",3.130579948,101.5490036,1.64131,103.669998,288.0032445
"FY","SZB","KBR","AT7",3.130579948,101.5490036,6.16685009,102.2929993,347.5388282
"FY","SZB","LGK","AT7",3.130579948,101.5490036,6.329730034,99.72869873,408.9292899
"FY","SZB","PEN","AT7",3.130579948,101.5490036,5.297140121,100.2770004,279.1644684
"FY","SZB","TGG","AT7",3.130579948,101.5490036,5.382639885,103.1029968,303.9722287
"FY","TGG","SZB","AT7",5.382639885,103.1029968,3.130579948,101.5490036,303.9722287
"KL","KCH","KUL","738",1.484699965,110.3470001,2.745579958,101.7099991,969.9026554
"KL","KCH","MYY","738",1.484699965,110.3470001,4.32201004,113.9869995,512.74244
"KL","KUL","KCH","737",2.745579958,101.7099991,1.484699965,110.3470001,969.9026554
"KL","MYY","KCH","737",4.32201004,113.9869995,1.484699965,110.3470001,512.74244
"MH","AOR","KUL","738 734",6.189670086,100.3980026,2.745579958,101.7099991,409.6461226
"MH","AOR","SZB","AT7",6.189670086,100.3980026,3.130579948,101.5490036,363.2820437
"MH","BKI","BTU","AT7",5.937210083,116.0510025,3.123850107,113.0199966,459.0450181
"MH","BKI","KCH","738",5.937210083,116.0510025,1.484699965,110.3470001,803.4367692
"MH","BKI","KUL","738 734",5.937210083,116.0510025,2.745579958,101.7099991,1628.967127
"MH","BKI","LBU","738 AT7",5.937210083,116.0510025,5.300680161,115.25,113.430686
"MH","BKI","MYY","AT7",5.937210083,116.0510025,4.32201004,113.9869995,290.6983762
"MH","BKI","SBW","AT7",5.937210083,116.0510025,2.261600018,111.9850006,608.5546033
"MH","BKI","SDK","738 AT7",5.937210083,116.0510025,5.900899887,118.0589981,222.1251016
"MH","BKI","TWU","738",5.937210083,116.0510025,4.320159912,118.1279984,291.9580639
