"Source_Airport","Destination_Airport","count"
"AOR","KUL",2
"AOR","SZB",3
"BKI","BTU",1
"BKI","JHB",1
"BKI","KBR",1
"BKI","KCH",2
"BKI","KUL",3
"BKI","LBU",1
"BKI","MYY",2
"BKI","PEN",1
"BKI","SBW",1
"BKI","SDK",2
"BKI","TWU",2
"BTU","BKI",1
"BTU","KCH",2
"BTU","KUL",2
"BTU","MYY",1
"BTU","SBW",1
"JHB","BKI",1
"JHB","KBR",3
"JHB","KCH",1
"JHB","KUL",2
"JHB","MYY",1
"JHB","PEN",1
"JHB","SBW",1
"JHB","SZB",3
"JHB","TWU",1
"KBR","BKI",1
"KBR","JHB",3
"KBR","KCH",1
"KBR","KUL",2
"KBR","PEN",3
"KBR","SZB",3
"KCH","BKI",2
"KCH","BTU",2
"KCH","JHB",1
"KCH","KBR",1
"KCH","KUL",4
"KCH","LGK",1
"KCH","MYY",3
"KCH","PEN",1
"KCH","SBW",2
"KUL","AOR",2
"KUL","BKI",3
"KUL","BTU",2
"KUL","JHB",2
"KUL","KBR",2
"KUL","KCH",4
"KUL","LBU",2
"KUL","LGK",4
"KUL","MYY",2
"KUL","PEN",4
"KUL","SBW",3
"KUL","SDK",2
"KUL","TGG",2
"KUL","TWU",2
"LBU","BKI",1
"LBU","KUL",2
"LBU","MYY",1
"LGK","KCH",1
"LGK","KUL",4
"LGK","PEN",4
"LGK","SZB",3
"MYY","BKI",2
"MYY","BTU",1
"MYY","JHB",1
"MYY","KCH",3
"MYY","KUL",2
"MYY","LBU",1
"MYY","PEN",1
"MYY","SBW",1
"MYY","TGG",1
"PEN","BKI",1
"PEN","JHB",1
"PEN","KBR",3
"PEN","KCH",1
"PEN","KUL",4
"PEN","LGK",4
"PEN","MYY",1
"PEN","SZB",3
"SBW","BKI",1
"SBW","BTU",1
"SBW","JHB",1
"SBW","KCH",2
"SBW","KUL",3
"SBW","MYY",1
"SDK","BKI",2
"SDK","KUL",2
"SDK","TWU",1
"SZB","AOR",3
"SZB","JHB",3
"SZB","KBR",3
"SZB","LGK",3
"SZB","PEN",3
"SZB","TGG",3
"TGG","KUL",2
"TGG","MYY",1
"TGG","SZB",3
"TWU","BKI",2
"TWU","JHB",1
"TWU","KUL",2
"TWU","SDK",1
