"Year","Aggregate.Domestic.Fares.(RM)","Aggregate.International.Fares.(RM)","Aggregate.Revenue.(RM.mil)","Aggregate.Operating.Profit.Margin.(%)","Average.Jet.Fuel.Prices.(USD/bbl)"
"1Q10",320.216906790295,666.027829220052,3780.022,12.0252739269771,86.3842
"2Q10",324.712740478955,676.235202823523,4093.236,-1.54063923995587,89.08
"3Q10",314.593554512895,648.33174165165,4298.895,4.36693382834426,87.03778125
"4Q10",328.84651545423,664.956678849659,4778.477,13.1971965126127,98.41453125
"1Q11",244.50674405821,570.204435642518,4195.182,-0.612321467817131,120.718838709677
"2Q11",255.491095037237,574.711277789793,4502.396,-5.06481437883296,131.422
"3Q11",254.882496191629,639.723681064572,4569.31,2.08053294698762,127.1248125
"4Q11",247.9046882595,607.400248272099,4884.292,5.42946654295034,124.382666666667
"1Q12",240.5024681276,548.769609565795,4227.188,-1.58048329054682,133.799806451613
"2Q12",258.513494031181,546.521422064433,4398.227,2.36238375145257,124.122666666667
"3Q12",232.343618024681,501.475950712307,4579.459,6.22652151706129,129.306666666667
"4Q12",244.914421316019,510.799986848497,5020.86,6.87834355070645,126.3294375
"1Q13",229.20722437989,504.63442471553,5229.188,2.72675222233356,129.8031
"2Q13",251.817002338463,490.208852097107,5358.112,3.96684503795367,116.21596875
"3Q13",245.209975602404,526.527677295936,5701.941,1.64454525222201,123.65915625
"4Q13",246.30333315631,585.190267164569,5905.4,-11.496681003827,121.41084375
"1Q14",222.134995865752,587.220186421676,5686.703,-3.35009582881329,122.812819672131
"2Q14",217.352804295466,526.148321067892,5442.212,-3.85383737347975,120.944666666667
"3Q14",229.06434270162,527.482189424463,5459.827,-6.50863113428319,117.408375
"4Q14",237.443974869675,559.494139178449,6120.972287,-2.22868581335892,91.78640625
"1Q15",223.861181255325,567.366499460007,5674.0452572,4.9667395830584,68.3684262295082
"2Q15",225.715650969769,533.128301576745,5556.27951462,-9.67305984131646,73.9
"3Q15",247.209580028236,600.55555783412,5671.80065566,-61.5078337204721,60.60140625
"4Q15",233.862722294616,569.904917116851,6862.07103095691,-0.734808166482162,53.15625
"1Q16",205.452420550975,518.680147327954,5382.06648525,6.26091747980978,42.39
"2Q16",223.049995837311,508.441119480888,4952.21177116,1.64956709900282,54.41
"3Q16",218.722909328626,523.909300466978,5351.48611625,4.58185512199028,54.28
"4Q16",238.740685757146,531.162399286202,6015.6054218796,11.1386532726231,60.57
"1Q17",207.088678605885,521.442601550889,5878.58726939,0.959380548619458,64.33
"2Q17",206.999060000533,498.578712620837,5721.19197405864,1.15893606050097,60.51
"3Q17",235.805858536162,506.194487275304,6048.84255567,1.17038071215197,63.59
"4Q17",233.888250573115,466.70496785288,6923.13745562313,1.21379514562364,72.63
"1Q18",217.305595971087,537,6363.52,8.5,79.98
"2Q18",220.119512880849,482,5642.22,-2.8,87.47
"3Q18",230.150346966071,458.987718874675,6013.22,-6.1,88.65
"4Q18",215.07284819994,467.47385267906,6302.65,-10,83.31
"1Q19",192,470,6309.30264853,2.84856648431462,75
"2Q19",194,469,6328.54259776,-2.34331365752669,78
"3Q19",215,509,6065.4173133031,-3.77116967391167,75
"4Q19",223.147071036144,483.692398409638,6458.30634606508,2.55684494567646,74
"1Q20",208.504043352,520.818807744,4870.66875849387,-20.9626254240098,62
"2Q20",325.343640312,804.091787424,568.51257335789,-366.892525034231,32
"3Q20",226.576355112,791.441169192,1362.0190318044,-128.277703360807,43
"4Q20",207.033041232,985.319248608,2178.21282150605,-116.807864728538,49.1
"1Q21",192.8240508,936.908175311111,745.533278680705,-837.18615880274,80.3
"2Q21",219,913,797.07625772284,-3179.23304108038,74
"3Q21",231,958,851.317548802899,-104.077696591978,80
"4Q21",199,1053,1969.08610116323,-11.0113070160931,92
"1Q22",172,954,1745,-37.61,121
"2Q22",198,648,2851,-44.28,167
"3Q22",200,629,3934,-0.34,141
"4Q22",206,640,5648,14.94,137
"Source:  MAVCOM Analysis, AirportIS",NA,NA,NA,NA,NA
