"Date","Domestic","International","Total","Year","Month"
2013-01-01,2791996,2870056,5662052,2013,1
2013-02-01,2883282,2797376,5680658,2013,2
2013-03-01,3304344,3181732,6486076,2013,3
2013-04-01,3233224,2909390,6142614,2013,4
2013-05-01,3649609,3098653,6748262,2013,5
2013-06-01,3858884,3304077,7162961,2013,6
2013-07-01,3356378,3166482,6522860,2013,7
2013-08-01,3979501,3466785,7446286,2013,8
2013-09-01,3688379,3184498,6872877,2013,9
2013-10-01,3751481,3250185,7001666,2013,10
2013-11-01,4060362,3326918,7387280,2013,11
2013-12-01,4621341,3846809,8468150,2013,12
2014-01-01,3649967,3508588,7158555,2014,1
2014-02-01,3468287,3225722,6694009,2014,2
2014-03-01,3770923,3520796,7291719,2014,3
2014-04-01,3555614,3317599,6873213,2014,4
2014-05-01,3675516,3226419,6901935,2014,5
2014-06-01,4079012,3366371,7445383,2014,6
2014-07-01,3296484,3216355,6512839,2014,7
2014-08-01,3741022,3338530,7079552,2014,8
2014-09-01,3649877,3151191,6801068,2014,9
2014-10-01,3748143,3279004,7027147,2014,10
2014-11-01,4981799,3244899,8226698,2014,11
2014-12-01,4515329,4011175,8526504,2014,12
2015-01-01,3454645,3383390,6838035,2015,1
2015-02-01,3561623,3101211,6662834,2015,2
2015-03-01,4068518,3399422,7467940,2015,3
2015-04-01,3716958,3282335,6999293,2015,4
2015-05-01,4022683,3306264,7328947,2015,5
2015-06-01,3900914,3310523,7211437,2015,6
2015-07-01,3916784,3509601,7426385,2015,7
2015-08-01,3815183,3552759,7367942,2015,8
2015-09-01,3725896,3145709,6871605,2015,9
2015-10-01,3502421,3176647,6679068,2015,10
2015-11-01,3826764,3213788,7040552,2015,11
2015-12-01,4387478,3933910,8321388,2015,12
2016-01-01,3494548,3586361,7080909,2016,1
2016-02-01,3752397,3410634,7163031,2016,2
2016-03-01,4004792,3553578,7558370,2016,3
2016-04-01,3758433,3451034,7209467,2016,4
2016-05-01,4054136,3491166,7545302,2016,5
2016-06-01,3594478,3309601,6904079,2016,6
2016-07-01,4270612,3904409,8175021,2016,7
2016-08-01,4081136,3774471,7855607,2016,8
2016-09-01,4156241,3623430,7779671,2016,9
2016-10-01,3958525,3605583,7564108,2016,10
2016-11-01,4122265,3649254,7771519,2016,11
2016-12-01,4728527,4426463,9154990,2016,12
2017-01-01,4097714,4109288,8207002,2017,1
2017-02-01,3860914,3721480,7582394,2017,2
2017-03-01,4490528,4050571,8541099,2017,3
2017-04-01,4272858,4164441,8437299,2017,4
2017-05-01,4181990,4024928,8206918,2017,5
2017-06-01,3978844,3920346,7899190,2017,6
2017-07-01,4257219,4380274,8637493,2017,7
2017-08-01,4229280,4408767,8638047,2017,8
2017-09-01,3897133,3994751,7891884,2017,9
2017-10-01,4057462,4090806,8148268,2017,10
2017-11-01,4037326,4155099,8192425,2017,11
2017-12-01,4445901,4929101,9375002,2017,12
2018-01-01,3869041,4501317,8370358,2018,1
2018-02-01,3846483,4141213,7987696,2018,2
2018-03-01,4366840,4542413,8909253,2018,3
2018-04-01,4138725,4380270,8518995,2018,4
2018-05-01,3940050,4017210,7957260,2018,5
2018-06-01,4439396,4306224,8745620,2018,6
2018-07-01,4215865,4628281,8844146,2018,7
2018-08-01,4281241,4470991,8752232,2018,8
2018-09-01,3979446,4045597,8025043,2018,9
2018-10-01,4006409,4073458,8079867,2018,10
2018-11-01,4257162,4334108,8591270,2018,11
2018-12-01,4828057,4936268,9764325,2018,12
2019-01-01,4178596,4505649,8684245,2019,1
2019-02-01,4235945,4238928,8474873,2019,2
2019-03-01,4710908,4528954,9239862,2019,3
2019-04-01,4643072,4499193,9142265,2019,4
2019-05-01,4120835,4065569,8186404,2019,5
2019-06-01,4951765,4453414,9405179,2019,6
2019-07-01,4826274,4730657,9556931,2019,7
2019-08-01,4967978,4653630,9621608,2019,8
2019-09-01,4498050,4194389,8692439,2019,9
2019-10-01,4555155,4365485,8920640,2019,10
2019-11-01,4541379,4440570,8981949,2019,11
2019-12-01,5133986,5201124,10335110,2019,12
2020-01-01,4570798,4713336,9284134,2020,1
2020-02-01,3515460,2974856,6490316,2020,2
2020-03-01,2082028,1273829,3355857,2020,3
2020-04-01,88829,40466,129295,2020,4
2020-05-01,200640,32362,233002,2020,5
2020-06-01,393370,46858,440228,2020,6
2020-07-01,1268825,89484,1358309,2020,7
2020-08-01,1415153,84298,1499451,2020,8
2020-09-01,1699035,88100,1787135,2020,9
2020-10-01,610901,89232,700133,2020,10
2020-11-01,239635,77536,317171,2020,11
2020-12-01,1032146,77141,1109287,2020,12
2022-01-01,2590207,271916,2862123,2022,1
2022-02-01,2375327,275651,2650978,2022,2
2022-03-01,2727218,419877,3147095,2022,3
2022-04-01,2242353,645378,2887731,2022,4
2022-05-01,3739416,1038620,4778036,2022,5
2022-06-01,3432310,1306671,4738981,2022,6
2022-07-01,3337908,1651052,4988960,2022,7
2022-08-01,3246295,1771511,5017806,2022,8
2022-09-01,3578642,1949710,5528352,2022,9
2022-10-01,3492729,2136262,5628991,2022,10
2022-11-01,3110951,2265944,5376895,2022,11
2022-12-01,4155981,2895932,7051913,2022,12
